candidate_id,resume_file_name,candidate_name,primary_domain,primary_role,years_experience,highest_education,education_field,institution_tier,technical_skills_raw,tools_platforms_raw,soft_skills_raw,experience_summary,project_summary,key_achievements,management_experience_flag,people_management_flag,project_management_experience_flag,agile_scrum_experience_flag,client_facing_experience_flag,delivery_lead_experience_flag,cloud_experience_flag,ml_experience_flag,compliance_experience_flag,enterprise_systems_experience_flag,offshore_onsite_model_experience_flag,multi_vendor_coordination_flag,process_compliance_experience_flag,documentation_heavy_role_flag,mentoring_experience_flag,stakeholder_management_experience_flag,resume_length_words,keyword_density_score,profile_completeness_score
CND_100001,DataAnalyst_1.pdf,Candidate_1,Data Science,Data Analyst,7,LLM,Mathematics,Tier-1,"Machine Learning, Power BI, Pandas, Python","AWS, ServiceNow","Leadership, Teamwork","Hands-on data science professional with 7+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Supported initiatives that increased team productivity by 9% and reduced rework or delays.,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,56,0.74,0.61
CND_100002,profile_2.pdf,Candidate_2,IT,Senior Software Engineer,10,Masters,Computer Science,Tier-2,"Kubernetes, Git, Docker, Python","AWS, Jira","Teamwork, Communication","Over 10 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Led implementation of it projects for enterprise clients, focusing on scalability, stability and performance.","Contributed to 43% improvement in key KPIs such as throughput, response time or customer satisfaction.",1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,54,0.89,0.89
CND_100003,Legal_candidate_3.pdf,Candidate_3,Legal,Compliance Officer,7,LLM,Law,Tier-1,"Due Diligence, Legal Research, Compliance, Contract Drafting","ServiceNow, AWS","Teamwork, Leadership","Hands-on legal professional with 7+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Improved process efficiency by 23% and helped reduce incidents or defects through better practices.,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,57,0.4,0.56
CND_100004,IT_candidate_4.pdf,Candidate_4,IT,Senior Software Engineer,9,LLM,Computer Science,Tier-1,"Kubernetes, AWS, SQL, Docker","Azure, GCP","Leadership, Teamwork","Hands-on it professional with 9+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.","Contributed to 42% improvement in key KPIs such as throughput, response time or customer satisfaction.",1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,55,0.74,0.89
CND_100005,IT_candidate_5.pdf,Candidate_5,IT,Software Engineer,9,Masters,Information Technology,Tier-1,"Java, Kubernetes, Git, AWS","AWS, ServiceNow","Teamwork, Problem Solving","Hands-on it professional with 9+ years of end-to-end delivery experience spanning design, development, testing and release.","Worked on multiple it initiatives including migrations, enhancements and greenfield builds.","Contributed to 15% improvement in key KPIs such as throughput, response time or customer satisfaction.",1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,51,0.58,0.59
CND_100006,Data Science_candidate_6.pdf,Candidate_6,Data Science,Junior Data Scientist,2,Bachelors,Mathematics,Tier-1,"NLP, Machine Learning, SQL, Python","GCP, Azure","Communication, Leadership","Hands-on data science professional with 2+ years of end-to-end delivery experience spanning design, development, testing and release.","Led implementation of data science projects for enterprise clients, focusing on scalability, stability and performance.",Supported initiatives that increased team productivity by 13% and reduced rework or delays.,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,54,0.68,0.93
CND_100007,DevOpsEngineer_7.pdf,Candidate_7,IT,DevOps Engineer,9,,Computer Science,Tier-1,"Kubernetes, AWS, SQL, Java","Confluence, Jira","Communication, Leadership","9+ years of experience in it roles, working across multiple projects from requirements analysis to deployment and post-production support.","Led implementation of it projects for enterprise clients, focusing on scalability, stability and performance.",Improved process efficiency by 29% and helped reduce incidents or defects through better practices.,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,55,0.81,0.58
CND_100008,resume_8_Full_Stack_Developer.pdf,Candidate_8,IT,Full Stack Developer,10,Bachelors,Information Technology,Tier-1,"Kubernetes, AWS, Java, Git","AWS, ServiceNow","Client Handling, Problem Solving","Over 10 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Worked on multiple it initiatives including migrations, enhancements and greenfield builds.",Supported initiatives that increased team productivity by 37% and reduced rework or delays.,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,51,0.41,0.63
CND_100009,resume_9_Cloud_Engineer.pdf,Candidate_9,IT,Cloud Engineer,5,Masters,Information Technology,Tier-2,"AWS, Kubernetes, Java, Ptyhon","AWS, Azure","Leadership, Client Handling","Over 5 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Worked on multiple it initiatives including migrations, enhancements and greenfield builds.","Contributed to 21% improvement in key KPIs such as throughput, response time or customer satisfaction.",0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,52,0.44,0.83
CND_100010,resume_10_ML_Engineer.pdf,Candidate_10,Data Science,ML Engineer,5,Masters,Mathematics,Tier-3,"Machine Learning, NLP, Power BI, Pythno","Confluence, ServiceNow","Leadership, Communication","Hands-on data science professional with 5+ years of end-to-end delivery experience spanning design, development, testing and release.","Led implementation of data science projects for enterprise clients, focusing on scalability, stability and performance.",Improved process efficiency by 19% and helped reduce incidents or defects through better practices.,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,56,0.28,0.58
CND_100011,profile_11.pdf,Candidate_11,Data Science,Data Scientist,7,Masters,Data Science,Tier-2,"Machine Learning, Pandas, NLP, Power BI","AWS, ServiceNow","Client Handling, Communication","7+ years of experience in data science roles, working across multiple projects from requirements analysis to deployment and post-production support.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Supported initiatives that increased team productivity by 21% and reduced rework or delays.,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,60,0.44,0.73
CND_100012,profile_12.pdf,Candidate_12,IT,Senior Software Engineer,17,Masters,Information Technology,Tier-2,"Python, SQL, AWS, Docker","AWS, Confluence","Leadership, Problem Solving","Over 17 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Supported initiatives that increased team productivity by 21% and reduced rework or delays.,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,55,0.84,0.89
CND_100013,resume_13_Cloud_Engineer.pdf,Candidate_13,IT,Cloud Engineer,7,MBA,Computer Science,Tier-1,"Python, Linux, Docker, Java","Jira, Confluence","Communication, Teamwork","7+ years of experience in it roles, working across multiple projects from requirements analysis to deployment and post-production support.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Supported initiatives that increased team productivity by 17% and reduced rework or delays.,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,56,0.45,0.91
CND_100014,profile_14.pdf,Candidate_14,HR,HR Executive,3,LLM,Human Resources,Tier-3,"Recruitment, Employee Engagement, Payroll, HRMS","ServiceNow, Azure","Leadership, Teamwork","3+ years of experience in hr roles, working across multiple projects from requirements analysis to deployment and post-production support.","Worked on multiple hr initiatives including migrations, enhancements and greenfield builds.",Improved process efficiency by 9% and helped reduce incidents or defects through better practices.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,53,0.32,0.9
CND_100015,resume_15_Corporate_Lawyer.pdf,Candidate_15,Legal,Corporate Lawyer,6,MBA,,Tier-3,"Due Diligence, Compliance, Legal Research, Contract Drafting","AWS, GCP","Problem Solving, Client Handling","Hands-on legal professional with 6+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Improved process efficiency by 29% and helped reduce incidents or defects through better practices.,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,59,0.53,0.84
CND_100016,profile_16.pdf,Candidate_16,IT,DevOps Engineer,4,Bachelors,Information Technology,Tier-3,"Git, AWS, Java, Docker","ServiceNow, Azure","Problem Solving, Client Handling","4+ years of experience in it roles, working across multiple projects from requirements analysis to deployment and post-production support.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Supported initiatives that increased team productivity by 29% and reduced rework or delays.,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,58,0.52,0.71
CND_100017,SoftwareEngineer_17.pdf,Candidate_17,IT,Software Engineer,6,LLM,Computer Science,Tier-2,"Git, SQL, Kubernetes, Jaav","Azure, Jira","Teamwork, Problem Solving","Over 6 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Worked on multiple it initiatives including migrations, enhancements and greenfield builds.",Supported initiatives that increased team productivity by 36% and reduced rework or delays.,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,50,0.59,0.8
CND_100018,IT_candidate_18.pdf,Candidate_18,IT,Software Engineer,7,Masters,Computer Science,Tier-1,"Kubenretes, Git, Java, SQL","Jira, ServiceNow","Teamwork, Leadership","Hands-on it professional with 7+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.","Contributed to 32% improvement in key KPIs such as throughput, response time or customer satisfaction.",0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,55,0.76,0.64
CND_100019,HR_candidate_19.pdf,Candidate_19,HR,Talent Acquisition Specialist,3,LLM,Human Resources,Tier-2,"Employee Engagement, Recruitment, HRMS, HR Analytics","GCP, Jira","Teamwork, Client Handling","Hands-on hr professional with 3+ years of end-to-end delivery experience spanning design, development, testing and release.","Worked on multiple hr initiatives including migrations, enhancements and greenfield builds.",Supported initiatives that increased team productivity by 18% and reduced rework or delays.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,51,0.75,0.76
CND_100020,Data Science_candidate_20.pdf,Candidate_20,Data Science,Data Scientist,10,LLM,Statistics,Tier-3,"Python, Pandas, NLP, Machine Learning","Azure, Jira","Leadership, Teamwork","10+ years of experience in data science roles, working across multiple projects from requirements analysis to deployment and post-production support.","Worked on multiple data science initiatives including migrations, enhancements and greenfield builds.","Contributed to 34% improvement in key KPIs such as throughput, response time or customer satisfaction.",1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,56,0.86,0.56
CND_100021,resume_21_Compliance_Officer.pdf,Candidate_21,Legal,Compliance Officer,10,LLM,Law,Tier-2,"Contract Drafting, Compliance, Legal Research, Due Diligence","Confluence, ServiceNow","Leadership, Client Handling","10+ years of experience in legal roles, working across multiple projects from requirements analysis to deployment and post-production support.","Worked on multiple legal initiatives including migrations, enhancements and greenfield builds.","Contributed to 35% improvement in key KPIs such as throughput, response time or customer satisfaction.",1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,57,0.85,0.94
CND_100022,IT_candidate_22.pdf,Candidate_22,IT,Cloud Engineer,3,Bachelors,Computer Science,Tier-2,"Java, SQL, Kubernetes, Linux","Jira, GCP","Problem Solving, Client Handling","Over 3 years delivering solutions in it, collaborating with cross-functional teams and stakeholders to meet business goals.","Worked on multiple it initiatives including migrations, enhancements and greenfield builds.",Improved process efficiency by 24% and helped reduce incidents or defects through better practices.,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,52,0.4,0.58
CND_100023,profile_23.pdf,Candidate_23,Engineering,Junior Mechanical Engineer,1,Bachelors,Mechanical Engineering,Tier-2,"SolidWorks, CAD, Manufacturing, Quality Control","Jira, GCP","Problem Solving, Leadership","Hands-on engineering professional with 1+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Improved process efficiency by 15% and helped reduce incidents or defects through better practices.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.51,0.84
CND_100024,IT_candidate_24.pdf,Candidate_24,IT,Full Stack Developer,6,LLM,Information Technology,Tier-2,"Java, SQL, Docker, AWS","Confluence, Jira","Problem Solving, Communication","Hands-on it professional with 6+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Improved process efficiency by 29% and helped reduce incidents or defects through better practices.,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,55,0.71,0.72
CND_100025,DataScientist_25.pdf,Candidate_25,Data Science,Data Scientist,10,LLM,Statistics,Tier-3,"TensorFlow, Power BI, SQL, NLP","Jira, Azure","Client Handling, Teamwork","Over 10 years delivering solutions in data science, collaborating with cross-functional teams and stakeholders to meet business goals.","Led implementation of data science projects for enterprise clients, focusing on scalability, stability and performance.","Contributed to 39% improvement in key KPIs such as throughput, response time or customer satisfaction.",1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,58,0.71,0.66
CND_100026,profile_26.pdf,Candidate_26,IT,Software Engineer,4,LLM,Information Technology,Tier-3,"Kubernetes, SQL, Linux, Git","Jira, AWS","Communication, Problem Solving","4+ years of experience in it roles, working across multiple projects from requirements analysis to deployment and post-production support.","Worked on multiple it initiatives including migrations, enhancements and greenfield builds.","Contributed to 23% improvement in key KPIs such as throughput, response time or customer satisfaction.",0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,54,0.61,0.69
CND_100027,profile_27.pdf,Candidate_27,IT,Senior Software Engineer,12,Bachelors,Information Technology,Tier-1,"Kubernetes, Python, SQL, Java","Azure, ServiceNow","Client Handling, Problem Solving","Hands-on it professional with 12+ years of end-to-end delivery experience spanning design, development, testing and release.","Delivered project components on time and within scope, coordinating with teams in offshore and onsite locations.",Supported initiatives that increased team productivity by 41% and reduced rework or delays.,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,55,0.45,0.83
